player_name,normalized_player_name,nationality,season,competition,club_raw,appearances,goals,minutes,age_in_season,position,assists,goals_plus_assists,goals_minus_pk,penalty_goals,penalty_attempts,starts,sub_appearances,nineties_played,player_uid,multi_club_key
Kenedy,kenedy,br BRA,2016/17,Premier League,2 Teams,2,0,90,20,"FW,MF",0,0,0,0,0,1,1,1,kenedy|br bra|1996,kenedy|2016/17
JosÃ© Fonte,josa© fonte,pt POR,2016/17,Premier League,2 Teams,33,0,2934,32,DF,0,0,0,0,0,33,0,32.6,josa© fonte|pt por|1984,josa© fonte|2016/17
Patrick van Aanholt,patrick van aanholt,nl NED,2016/17,Premier League,2 Teams,32,5,2498,25,"DF,MF",1,6,5,0,0,28,4,27.8,patrick van aanholt|nl ned|1991,patrick van aanholt|2016/17
Joleon Lescott,joleon lescott,eng ENG,2015/16,Premier League,2 Teams,32,1,2809,32,DF,0,1,1,0,0,32,0,31.2,joleon lescott|eng eng|1983,joleon lescott|2015/16
Tom Cleverley,tom cleverley,eng ENG,2014/15,Premier League,2 Teams,32,3,2597,24,MF,0,3,3,0,0,32,0,28.9,tom cleverley|eng eng|1990,tom cleverley|2014/15
Allan Nyom,allan nyom,cm CMR,2016/17,Premier League,2 Teams,32,0,2638,28,"DF,MF",1,1,0,0,0,29,3,29.3,allan nyom|cm cmr|1988,allan nyom|2016/17
Alexis SÃ¡nchez,alexis sa¡nchez,cl CHI,2017/18,Premier League,2 Teams,31,9,2546,28,MF,6,15,8,1,2,29,2,28.3,alexis sa¡nchez|cl chi|1989,alexis sa¡nchez|2017/18
Jonjo Shelvey,jonjo shelvey,eng ENG,2015/16,Premier League,2 Teams,31,1,2266,23,MF,5,6,0,1,1,25,6,25.2,jonjo shelvey|eng eng|1992,jonjo shelvey|2015/16
AndrÃ© Ayew,andra© ayew,gh GHA,2017/18,Premier League,2 Teams,30,3,1845,27,"MF,FW",4,7,3,0,1,19,11,20.5,andra© ayew|gh gha|1990,andra© ayew|2017/18
Wilfried Bony,wilfried bony,ci CIV,2014/15,Premier League,2 Teams,30,11,1599,25,FW,3,14,10,1,1,18,12,17.8,wilfried bony|ci civ|1989,wilfried bony|2014/15
Olivier Giroud,olivier giroud,fr FRA,2017/18,Premier League,2 Teams,29,7,1001,30,FW,2,9,7,0,0,7,22,11.1,olivier giroud|fr fra|1987,olivier giroud|2017/18
Aaron Lennon,aaron lennon,eng ENG,2017/18,Premier League,2 Teams,29,0,1911,30,MF,2,2,0,0,0,22,7,21.2,aaron lennon|eng eng|1987,aaron lennon|2017/18
Jack Wilshere,jack wilshere,eng ENG,2016/17,Premier League,2 Teams,29,0,1949,24,MF,2,2,0,0,0,22,7,21.7,jack wilshere|eng eng|1992,jack wilshere|2016/17
Michael Dawson,michael dawson,eng ENG,2014/15,Premier League,2 Teams,28,1,2432,30,DF,0,1,1,0,0,28,0,27,michael dawson|eng eng|1984,michael dawson|2014/15
Tom Cleverley,tom cleverley,eng ENG,2016/17,Premier League,2 Teams,27,0,1847,26,MF,2,2,0,0,0,20,7,20.5,tom cleverley|eng eng|1990,tom cleverley|2016/17
Jack Cork,jack cork,eng ENG,2014/15,Premier League,2 Teams,27,3,1805,25,"DF,MF",0,3,3,0,0,20,7,20.1,jack cork|eng eng|1989,jack cork|2014/15
Danny Welbeck,danny welbeck,eng ENG,2014/15,Premier League,2 Teams,27,4,1709,23,"FW,MF",4,8,4,0,0,18,9,19,danny welbeck|eng eng|1991,danny welbeck|2014/15
Darren Fletcher,darren fletcher,sct SCO,2014/15,Premier League,2 Teams,26,1,1719,30,MF,0,1,1,0,0,19,7,19.1,darren fletcher|sct sco|1984,darren fletcher|2014/15
Henrikh Mkhitaryan,henrikh mkhitaryan,am ARM,2017/18,Premier League,2 Teams,26,3,1716,28,"MF,FW",9,12,3,0,0,20,6,19.1,henrikh mkhitaryan|am arm|1989,henrikh mkhitaryan|2017/18
Virgil van Dijk,virgil van dijk,nl NED,2017/18,Premier League,2 Teams,26,0,2254,26,DF,0,0,0,0,0,25,1,25,virgil van dijk|nl ned|1991,virgil van dijk|2017/18
Calum Chambers,calum chambers,eng ENG,2016/17,Premier League,2 Teams,25,2,2250,21,DF,1,3,2,0,0,25,0,25,calum chambers|eng eng|1995,calum chambers|2016/17
Enner Valencia,enner valencia,ec ECU,2016/17,Premier League,2 Teams,24,3,927,26,FW,1,4,3,0,0,8,16,10.3,enner valencia|ec ecu|1990,enner valencia|2016/17
GastÃ³n RamÃ­rez,gasta³n rama­rez,uy URU,2014/15,Premier League,2 Teams,23,1,1015,23,"FW,MF",2,3,1,0,0,11,12,11.3,gasta³n rama­rez|uy uru|1991,gasta³n rama­rez|2014/15
Aaron Lennon,aaron lennon,eng ENG,2014/15,Premier League,2 Teams,23,2,1347,27,"FW,MF",2,4,2,0,0,15,8,15,aaron lennon|eng eng|1987,aaron lennon|2014/15
YounÃ¨s Kaboul,youna¨s kaboul,fr FRA,2016/17,Premier League,2 Teams,23,2,1910,30,DF,0,2,2,0,0,23,0,21.2,youna¨s kaboul|fr fra|1986,youna¨s kaboul|2016/17
Steven Naismith,steven naismith,sct SCO,2015/16,Premier League,2 Teams,23,4,1325,28,MF,2,6,4,0,0,15,8,14.7,steven naismith|sct sco|1987,steven naismith|2015/16
Danny Rose,danny rose,eng ENG,2019/20,Premier League,2 Teams,23,0,1756,29,"DF,MF",0,0,0,0,0,20,3,19.5,danny rose|eng eng|1990,danny rose|2019/20
Matthew Jarvis,matthew jarvis,eng ENG,2015/16,Premier League,2 Teams,22,1,1093,29,MF,1,2,1,0,0,13,9,12.1,matthew jarvis|eng eng|1986,matthew jarvis|2015/16
Michael Keane,michael keane,eng ENG,2014/15,Premier League,2 Teams,22,0,1645,21,DF,1,1,0,0,0,17,5,18.3,michael keane|eng eng|1993,michael keane|2014/15
Andy King,andy king,wls WAL,2017/18,Premier League,2 Teams,22,3,1252,28,MF,1,4,3,0,0,14,8,13.9,andy king|wls wal|1989,andy king|2017/18
Lewis Grabban,lewis grabban,eng ENG,2015/16,Premier League,2 Teams,21,1,827,27,FW,0,1,1,0,0,7,14,9.2,lewis grabban|eng eng|1988,lewis grabban|2015/16
LoÃ¯c RÃ©my,loa¯c ra©my,fr FRA,2014/15,Premier League,2 Teams,21,7,852,27,FW,0,7,7,0,0,8,13,9.5,loa¯c ra©my|fr fra|1987,loa¯c ra©my|2014/15
CÃ©dric Soares,ca©dric soares,pt POR,2019/20,Premier League,2 Teams,21,1,1555,27,MF,1,2,1,0,0,19,2,17.3,ca©dric soares|pt por|1992,ca©dric soares|2019/20
Victor Moses,victor moses,ng NGA,2015/16,Premier League,2 Teams,21,1,979,24,"MF,FW",2,3,1,0,0,13,8,10.9,victor moses|ng nga|1991,victor moses|2015/16
Glenn Murray,glenn murray,eng ENG,2015/16,Premier League,2 Teams,21,3,802,31,FW,0,3,3,0,1,8,13,8.9,glenn murray|eng eng|1984,glenn murray|2015/16
Theo Walcott,theo walcott,eng ENG,2017/18,Premier League,2 Teams,20,3,1221,28,"FW,MF",3,6,3,0,0,13,7,13.6,theo walcott|eng eng|1989,theo walcott|2017/18
Jeffrey Schlupp,jeffrey schlupp,gh GHA,2016/17,Premier League,2 Teams,19,0,1139,23,DF,0,0,0,0,0,12,7,12.7,jeffrey schlupp|gh gha|1993,jeffrey schlupp|2016/17
Nathaniel Clyne,nathaniel clyne,eng ENG,2018/19,Premier League,2 Teams,18,0,1254,27,DF,1,1,0,0,0,14,4,13.9,nathaniel clyne|eng eng|1991,nathaniel clyne|2018/19
Tom Carroll,tom carroll,eng ENG,2016/17,Premier League,2 Teams,18,1,1388,24,MF,2,3,1,0,0,16,2,15.4,tom carroll|eng eng|1992,tom carroll|2016/17
Oumar Niasse,oumar niasse,sn SEN,2018/19,Premier League,2 Teams,18,0,994,28,FW,0,0,0,0,0,12,6,11,oumar niasse|sn sen|1990,oumar niasse|2018/19
Jake Livermore,jake livermore,eng ENG,2016/17,Premier League,2 Teams,37,1,2971,26,MF,0,1,1,0,0,35,2,33,jake livermore|eng eng|1990,jake livermore|2016/17
George Boyd,george boyd,sct SCO,2014/15,Premier League,2 Teams,36,5,3015,28,"FW,MF",2,7,5,0,0,35,1,33.5,george boyd|sct sco|1986,george boyd|2014/15
Danny Ings,danny ings,eng ENG,2022/23,Premier League,2 Teams,35,8,1599,30,FW,2,10,6,2,2,15,20,17.8,danny ings|eng eng|1992,danny ings|2022/23
Brennan Johnson,brennan johnson,wls WAL,2023/24,Premier League,2 Teams,35,5,2322,22,"MF,FW",10,15,5,0,0,26,9,25.8,brennan johnson|wls wal|2001,brennan johnson|2023/24
Chris Wood,chris wood,nz NZL,2021/22,Premier League,2 Teams,34,5,2694,29,FW,0,5,4,1,1,32,2,29.9,chris wood|nz nzl|1992,chris wood|2021/22
Robert Snodgrass,robert snodgrass,sct SCO,2020/21,Premier League,2 Teams,11,0,531,32,MF,0,0,0,0,0,6,5,5.9,robert snodgrass|sct sco|1988,robert snodgrass|2020/21
Willy Boly,willy boly,ci CIV,2022/23,Premier League,2 Teams,11,0,685,31,DF,1,1,0,0,0,9,2,7.6,willy boly|ci civ|1991,willy boly|2022/23
Anwar El Ghazi,anwar el ghazi,nl NED,2021/22,Premier League,2 Teams,11,1,399,26,"MF,FW",1,2,0,1,1,4,7,4.4,anwar el ghazi|nl ned|1995,anwar el ghazi|2021/22
CÃ©dric Soares,ca©dric soares,pt POR,2022/23,Premier League,2 Teams,8,0,227,30,"DF,MF",0,0,0,0,0,2,6,2.5,ca©dric soares|pt por|1992,ca©dric soares|2022/23
Dale Stephens,dale stephens,eng ENG,2020/21,Premier League,2 Teams,7,0,261,31,MF,0,0,0,0,0,3,4,2.9,dale stephens|eng eng|1989,dale stephens|2020/21
Sam Johnstone,sam johnstone,eng ENG,2024/25,Premier League,2 Teams,7,0,630,31,GK,0,0,0,0,0,7,0,7,sam johnstone|eng eng|1993,sam johnstone|2024/25
Odsonne Ãdouard,odsonne adouard,fr FRA,2024/25,Premier League,2 Teams,6,0,144,26,MF,0,0,0,0,0,1,5,1.6,odsonne adouard|fr fra|1998,odsonne adouard|2024/25
Ayden Heaven,ayden heaven,eng ENG,2024/25,Premier League,2 Teams,4,0,170,17,DF,0,0,0,0,0,2,2,1.9,ayden heaven|eng eng|2007,ayden heaven|2024/25
Martin DÃºbravka,martin daºbravka,sk SVK,2022/23,Premier League,2 Teams,2,0,157,33,GK,0,0,0,0,0,1,1,1.7,martin daºbravka|sk svk|1989,martin daºbravka|2022/23
Neto,neto,br BRA,2024/25,Premier League,2 Teams,2,0,180,35,GK,0,0,0,0,0,2,0,2,neto|br bra|1989,neto|2024/25
Andrey Santos,andrey santos,br BRA,2023/24,Premier League,2 Teams,1,0,8,19,MF,0,0,0,0,0,0,1,0.1,andrey santos|br bra|2004,andrey santos|2023/24
Daniel James,daniel james,wls WAL,2021/22,Premier League,2 Teams,34,4,2492,23,MF,4,8,4,0,0,31,3,27.7,daniel james|wls wal|1998,daniel james|2021/22
Cole Palmer,cole palmer,eng ENG,2023/24,Premier League,2 Teams,34,22,2618,21,"MF,FW",11,33,13,9,9,29,5,29.1,cole palmer|eng eng|2002,cole palmer|2023/24
Matt Targett,matt targett,eng ENG,2021/22,Premier League,2 Teams,33,1,2871,25,"DF,MF",1,2,1,0,0,33,0,31.9,matt targett|eng eng|1996,matt targett|2021/22
Anthony Gordon,anthony gordon,eng ENG,2022/23,Premier League,2 Teams,32,4,1582,21,"FW,MF",0,4,4,0,0,16,16,17.6,anthony gordon|eng eng|2001,anthony gordon|2022/23
Jorginho,jorginho,it ITA,2022/23,Premier League,2 Teams,32,2,2134,30,MF,1,3,0,2,2,24,8,23.7,jorginho|it ita|1992,jorginho|2022/23
Alex Iwobi,alex iwobi,ng NGA,2023/24,Premier League,2 Teams,32,5,2332,27,MF,2,7,5,0,0,27,5,25.9,alex iwobi|ng nga|1996,alex iwobi|2023/24
Neal Maupay,neal maupay,fr FRA,2023/24,Premier League,2 Teams,31,6,1432,26,FW,3,9,6,0,0,14,17,15.9,neal maupay|fr fra|1997,neal maupay|2023/24
James Mcatee,james mcatee,eng ENG,2023/24,Premier League,2 Teams,31,3,1823,20,"MF,FW",3,6,2,1,1,20,11,20.3,james mcatee|eng eng|2003,james mcatee|2023/24
Jordan Ayew,jordan ayew,gh GHA,2024/25,Premier League,2 Teams,31,5,1659,32,"FW,MF",0,5,4,1,1,19,12,18.4,jordan ayew|gh gha|1992,jordan ayew|2024/25
Ruben Loftus-Cheek,ruben loftus-cheek,eng ENG,2020/21,Premier League,2 Teams,31,1,1969,24,FW,0,1,1,0,0,22,9,21.9,ruben loftus-cheek|eng eng|1996,ruben loftus-cheek|2020/21
Cameron Archer,cameron archer,eng ENG,2023/24,Premier League,2 Teams,30,4,1838,22,"FW,MF",1,5,4,0,0,21,9,20.4,cameron archer|eng eng|2001,cameron archer|2023/24
Aaron Ramsdale,aaron ramsdale,eng ENG,2024/25,Premier League,2 Teams,30,0,2700,26,GK,0,0,0,0,0,30,0,30,aaron ramsdale|eng eng|1998,aaron ramsdale|2024/25
Joachim Andersen,joachim andersen,dk DEN,2024/25,Premier League,2 Teams,30,0,2673,28,DF,0,0,0,0,0,30,0,29.7,joachim andersen|dk den|1996,joachim andersen|2024/25
Lucas Digne,lucas digne,fr FRA,2021/22,Premier League,2 Teams,29,0,2439,28,DF,4,4,0,0,0,29,0,27.1,lucas digne|fr fra|1993,lucas digne|2021/22
Eddie Nketiah,eddie nketiah,eng ENG,2024/25,Premier League,2 Teams,29,3,1034,25,FW,1,4,3,0,0,9,20,11.5,eddie nketiah|eng eng|1999,eddie nketiah|2024/25
Dan Burn,dan burn,eng ENG,2021/22,Premier League,2 Teams,29,1,2462,29,DF,1,2,1,0,0,28,1,27.4,dan burn|eng eng|1992,dan burn|2021/22
Neal Maupay,neal maupay,fr FRA,2022/23,Premier League,2 Teams,27,1,1118,25,"FW,MF",0,1,1,0,0,11,16,12.4,neal maupay|fr fra|1997,neal maupay|2022/23
Ross Barkley,ross barkley,eng ENG,2020/21,Premier League,2 Teams,26,3,1573,26,MF,1,4,3,0,0,18,8,17.5,ross barkley|eng eng|1994,ross barkley|2020/21
Brandon Williams,brandon williams,eng ENG,2021/22,Premier League,2 Teams,26,0,2120,20,DF,1,1,0,0,0,23,3,23.6,brandon williams|eng eng|2001,brandon williams|2021/22
Ainsley Maitland-Niles,ainsley maitland-niles,eng ENG,2020/21,Premier League,2 Teams,26,0,1720,22,"MF,DF",0,0,0,0,0,19,7,19.1,ainsley maitland-niles|eng eng|1998,ainsley maitland-niles|2020/21
Sergio ReguilÃ³n,sergio reguila³n,es ESP,2023/24,Premier League,2 Teams,25,0,1530,26,DF,4,4,0,0,0,18,7,17,sergio reguila³n|es esp|1997,sergio reguila³n|2023/24
Craig Dawson,craig dawson,eng ENG,2022/23,Premier League,2 Teams,25,1,2134,32,DF,0,1,1,0,0,25,0,23.7,craig dawson|eng eng|1990,craig dawson|2022/23
Chris Wood,chris wood,nz NZL,2022/23,Premier League,2 Teams,25,3,818,30,FW,0,3,2,1,1,9,16,9.1,chris wood|nz nzl|1992,chris wood|2022/23
Trevoh Chalobah,trevoh chalobah,eng ENG,2024/25,Premier League,2 Teams,25,3,1970,25,DF,1,4,3,0,0,23,2,21.9,trevoh chalobah|eng eng|1999,trevoh chalobah|2024/25
Julio Enciso,julio enciso,py PAR,2024/25,Premier League,2 Teams,25,2,1163,20,MF,3,5,2,0,0,14,11,12.9,julio enciso|py par|2004,julio enciso|2024/25
Marcus Rashford,marcus rashford,eng ENG,2024/25,Premier League,2 Teams,25,6,1422,26,MF,3,9,5,1,1,16,9,15.8,marcus rashford|eng eng|1998,marcus rashford|2024/25
Conor Coady,conor coady,eng ENG,2022/23,Premier League,2 Teams,24,1,2096,29,"DF,MF",1,2,1,0,0,23,1,23.3,conor coady|eng eng|1993,conor coady|2022/23
James Ward-Prowse,james ward-prowse,eng ENG,2024/25,Premier League,2 Teams,24,1,1439,29,MF,2,3,1,0,0,17,7,16,james ward-prowse|eng eng|1995,james ward-prowse|2024/25
Leander Dendoncker,leander dendoncker,be BEL,2022/23,Premier League,2 Teams,24,0,911,27,MF,0,0,0,0,0,9,15,10.1,leander dendoncker|be bel|1995,leander dendoncker|2022/23
Daniel James,daniel james,wls WAL,2022/23,Premier League,2 Teams,24,2,819,24,MF,1,3,2,0,0,7,17,9.1,daniel james|wls wal|1998,daniel james|2022/23
Kurt Zouma,kurt zouma,fr FRA,2021/22,Premier League,2 Teams,24,1,2078,26,DF,0,1,1,0,0,24,0,23.1,kurt zouma|fr fra|1995,kurt zouma|2021/22
Jan Bednarek,jan bednarek,pl POL,2022/23,Premier League,2 Teams,23,0,1772,26,DF,0,0,0,0,0,21,2,19.7,jan bednarek|pl pol|1996,jan bednarek|2022/23
Theo Walcott,theo walcott,eng ENG,2020/21,Premier League,2 Teams,22,3,1631,31,"MF,FW",3,6,3,0,0,20,2,18.1,theo walcott|eng eng|1989,theo walcott|2020/21
