player_name,normalized_player_name,nationality,season,competition,club_raw,appearances,goals,minutes,age_in_season,position,assists,goals_plus_assists,goals_minus_pk,penalty_goals,penalty_attempts,starts,sub_appearances,nineties_played,player_uid,multi_club_key
Jaden Philogene Bidace,jaden philogene bidace,eng ENG,2024/25,Premier League,2 Teams,21,2,806,22,MF,0,2,2,0,0,7,14,9,jaden philogene bidace|eng eng|2002,jaden philogene bidace|2024/25
Evan Ferguson,evan ferguson,ie IRL,2024/25,Premier League,2 Teams,21,1,402,19,FW,0,1,1,0,0,3,18,4.5,evan ferguson|ie irl|2005,evan ferguson|2024/25
Armando Broja,armando broja,al ALB,2023/24,Premier League,2 Teams,21,1,542,21,FW,1,2,1,0,0,6,15,6,armando broja|al alb|2002,armando broja|2023/24
Joe Willock,joe willock,eng ENG,2020/21,Premier League,2 Teams,21,8,1216,20,MF,0,8,8,0,1,13,8,13.5,joe willock|eng eng|2000,joe willock|2020/21
Dele Alli,dele alli,eng ENG,2021/22,Premier League,2 Teams,21,1,995,25,MF,0,1,0,1,1,9,12,11.1,dele alli|eng eng|1996,dele alli|2021/22
Diogo Jota,diogo jota,pt POR,2020/21,Premier League,2 Teams,19,9,1112,23,"FW,MF",0,9,9,0,0,12,7,12.4,diogo jota|pt por|1997,diogo jota|2020/21
Matheus Nunes,matheus nunes,pt POR,2023/24,Premier League,2 Teams,19,0,840,24,MF,2,2,0,0,0,9,10,9.3,matheus nunes|pt por|1999,matheus nunes|2023/24
Takumi Minamino,takumi minamino,jp JPN,2020/21,Premier League,2 Teams,19,3,1004,25,"MF,FW",0,3,3,0,0,11,8,11.2,takumi minamino|jp jpn|1995,takumi minamino|2020/21
Dean Henderson,dean henderson,eng ENG,2023/24,Premier League,2 Teams,18,0,1620,26,GK,0,0,0,0,0,18,0,18,dean henderson|eng eng|1997,dean henderson|2023/24
Wesley Fofana,wesley fofana,fr FRA,2022/23,Premier League,2 Teams,17,1,1363,21,DF,0,1,1,0,0,14,3,15.1,wesley fofana|fr fra|2001,wesley fofana|2022/23
Jack Stephens,jack stephens,eng ENG,2022/23,Premier League,2 Teams,17,0,1219,28,DF,0,0,0,0,0,13,4,13.5,jack stephens|eng eng|1994,jack stephens|2022/23
Carlos Alcaraz,carlos alcaraz,ar ARG,2024/25,Premier League,2 Teams,16,2,774,21,MF,3,5,2,0,0,7,9,8.6,carlos alcaraz|ar arg|2003,carlos alcaraz|2024/25
James Garner,james garner,eng ENG,2022/23,Premier League,2 Teams,16,0,804,21,MF,1,1,0,0,0,7,9,8.9,james garner|eng eng|2001,james garner|2022/23
Jesse Lingard,jesse lingard,eng ENG,2020/21,Premier League,2 Teams,16,9,1421,27,"FW,MF",4,13,8,1,2,16,0,15.8,jesse lingard|eng eng|1993,jesse lingard|2020/21
Albert Sambi Lokonga,albert sambi lokonga,be BEL,2022/23,Premier League,2 Teams,15,0,734,22,MF,0,0,0,0,0,8,7,8.2,albert sambi lokonga|be bel|2000,albert sambi lokonga|2022/23
Donny van de Beek,donny van de beek,nl NED,2021/22,Premier League,2 Teams,15,2,558,24,MF,0,2,2,0,0,5,10,6.2,donny van de beek|nl ned|1997,donny van de beek|2021/22
Mathew Ryan,mathew ryan,au AUS,2020/21,Premier League,2 Teams,14,0,1260,28,GK,0,0,0,0,0,14,0,14,mathew ryan|au aus|1992,mathew ryan|2020/21
Billy Gilmour,billy gilmour,sct SCO,2022/23,Premier League,2 Teams,14,0,507,21,MF,1,1,0,0,0,7,7,5.6,billy gilmour|sct sco|2001,billy gilmour|2022/23
Axel Disasi,axel disasi,fr FRA,2024/25,Premier League,2 Teams,13,1,854,26,DF,0,1,1,0,0,9,4,9.5,axel disasi|fr fra|1998,axel disasi|2024/25
Calum Chambers,calum chambers,eng ENG,2021/22,Premier League,2 Teams,13,1,1001,26,DF,0,1,1,0,0,11,2,11.1,calum chambers|eng eng|1995,calum chambers|2021/22
Kalvin Phillips,kalvin phillips,eng ENG,2023/24,Premier League,2 Teams,12,0,402,27,MF,0,0,0,0,0,3,9,4.5,kalvin phillips|eng eng|1996,kalvin phillips|2023/24
Reiss Nelson,reiss nelson,eng ENG,2024/25,Premier League,2 Teams,12,1,490,24,"FW,MF",1,2,1,0,0,5,7,5.4,reiss nelson|eng eng|2000,reiss nelson|2024/25
Jonjo Shelvey,jonjo shelvey,eng ENG,2022/23,Premier League,2 Teams,11,0,577,30,MF,0,0,0,0,0,6,5,6.4,jonjo shelvey|eng eng|1992,jonjo shelvey|2022/23
