player_name,normalized_player_name,nationality,season,competition,club_raw,appearances,goals,minutes,age_in_season,position,assists,goals_plus_assists,goals_minus_pk,penalty_goals,penalty_attempts,starts,sub_appearances,nineties_played,player_uid,multi_club_key,player_name_raw,player_name_used_for_search,reason_unresolved,candidate_players
Michael Hughes,michael hughes,nir NIR,1997/98,Premier League,2 Teams,34,4,2824,25,MF,3,7,4,0,0,31,3,31.4,michael hughes|nir nir|1972,michael hughes|1997/98,Michael Hughes,Michael Hughes,Season not found in SportMonks,[]
Darren Huckerby,darren huckerby,eng ENG,1999/00,Premier League,2 Teams,34,2,1319,23,"FW,MF",3,5,2,0,0,10,24,14.7,darren huckerby|eng eng|1976,darren huckerby|1999/00,Darren Huckerby,Darren Huckerby,Season not found in SportMonks,[]
Dion Dublin,dion dublin,eng ENG,1998/99,Premier League,2 Teams,34,14,2913,29,"DF,FW",5,19,,,,34,0,32.4,dion dublin|eng eng|1969,dion dublin|1998/99,Dion Dublin,Dion Dublin,Season not found in SportMonks,[]
David Burrows,david burrows,eng ENG,1994/95,Premier League,3 Teams,34,0,2939,25,DF,1,1,,,,34,0,32.7,david burrows|eng eng|1969,david burrows|1994/95,David Burrows,David Burrows,Season not found in SportMonks,[]
David Hirst,david hirst,eng ENG,1997/98,Premier League,2 Teams,34,9,2693,29,FW,4,13,8,1,1,31,3,29.9,david hirst|eng eng|1968,david hirst|1997/98,David Hirst,David Hirst,Season not found in SportMonks,[]
Mikkel Beck,mikkel beck,dk DEN,1998/99,Premier League,2 Teams,34,6,1791,25,FW,4,10,,,,19,15,19.9,mikkel beck|dk den|1973,mikkel beck|1998/99,Mikkel Beck,Mikkel Beck,Season not found in SportMonks,[]
Vinnie Jones,vinnie jones,wls WAL,1992/93,Premier League,2 Teams,34,2,2946,27,MF,1,3,1,1,2,34,0,32.7,vinnie jones|wls wal|1965,vinnie jones|1992/93,Vinnie Jones,Vinnie Jones,Season not found in SportMonks,[]
Dwight Yorke,dwight yorke,tt TRI,1998/99,Premier League,2 Teams,33,18,2871,26,"FW,MF",11,29,18,0,1,33,0,31.9,dwight yorke|tt tri|1972,dwight yorke|1998/99,Dwight Yorke,Dwight Yorke,Season not found in SportMonks,[]
Robbie Slater,robbie slater,au AUS,1996/97,Premier League,2 Teams,33,2,2261,31,MF,3,5,2,0,0,24,9,25.1,robbie slater|au aus|1965,robbie slater|1996/97,Robbie Slater,Robbie Slater,Season not found in SportMonks,[]
Tim Sherwood,tim sherwood,eng ENG,1998/99,Premier League,2 Teams,33,5,2709,29,MF,1,6,5,0,0,31,2,30.1,tim sherwood|eng eng|1969,tim sherwood|1998/99,Tim Sherwood,Tim Sherwood,Season not found in SportMonks,[]
Jason McAteer,jason mcateer,ie IRL,1995/96,Premier League,2 Teams,33,0,2805,24,MF,3,3,,,,31,2,31.2,jason mcateer|ie irl|1971,jason mcateer|1995/96,Jason McAteer,Jason McAteer,Season not found in SportMonks,[]
Paul Allen,paul allen,eng ENG,1993/94,Premier League,2 Teams,33,1,2710,30,MF,3,4,1,0,0,29,4,30.1,paul allen|eng eng|1963,paul allen|1993/94,Paul Allen,Paul Allen,Season not found in SportMonks,[]
Kevin Richardson,kevin richardson,eng ENG,1994/95,Premier League,2 Teams,33,0,2911,31,MF,3,3,0,0,0,32,1,32.3,kevin richardson|eng eng|1963,kevin richardson|1994/95,Kevin Richardson,Kevin Richardson,Season not found in SportMonks,[]
Mark Robins,mark robins,eng ENG,1994/95,Premier League,2 Teams,33,9,2624,24,FW,6,15,9,0,,29,4,29.2,mark robins|eng eng|1970,mark robins|1994/95,Mark Robins,Mark Robins,Season not found in SportMonks,[]
Ashley Ward,ashley ward,eng ENG,1997/98,Premier League,2 Teams,32,8,2693,26,FW,2,10,8,0,0,30,2,29.9,ashley ward|eng eng|1971,ashley ward|1997/98,Ashley Ward,Ashley Ward,Season not found in SportMonks,[]
Carlton Palmer,carlton palmer,eng ENG,1998/99,Premier League,2 Teams,32,0,2833,32,MF,1,1,0,0,0,31,1,31.5,carlton palmer|eng eng|1966,carlton palmer|1998/99,Carlton Palmer,Carlton Palmer,Season not found in SportMonks,[]
Andy Hinchcliffe,andy hinchcliffe,eng ENG,1997/98,Premier League,2 Teams,32,1,2711,28,DF,2,3,1,0,0,30,2,30.1,andy hinchcliffe|eng eng|1969,andy hinchcliffe|1997/98,Andy Hinchcliffe,Andy Hinchcliffe,Season not found in SportMonks,[]
Iain Dowie,iain dowie,nir NIR,1994/95,Premier League,2 Teams,32,9,2844,29,FW,1,10,,,,32,0,31.6,iain dowie|nir nir|1965,iain dowie|1994/95,Iain Dowie,Iain Dowie,Season not found in SportMonks,[]
Dan Petrescu,dan petrescu,ro ROU,1995/96,Premier League,2 Teams,32,2,2681,27,DF,8,10,,,,30,2,29.8,dan petrescu|ro rou|1968,dan petrescu|1995/96,Dan Petrescu,Dan Petrescu,Season not found in SportMonks,[]
Alex Mathie,alex mathie,sct SCO,1994/95,Premier League,2 Teams,31,4,1489,25,FW,0,4,4,0,0,25,6,16.5,alex mathie|sct sco|1969,alex mathie|1994/95,Alex Mathie,Alex Mathie,Season not found in SportMonks,[]
Julian Dicks,julian dicks,eng ENG,1993/94,Premier League,2 Teams,31,3,2759,24,DF,1,4,1,2,3,31,0,30.7,julian dicks|eng eng|1969,julian dicks|1993/94,Julian Dicks,Julian Dicks,Season not found in SportMonks,[]
John Hartson,john hartson,wls WAL,1998/99,Premier League,2 Teams,31,6,2445,23,FW,3,9,,,,28,3,27.2,john hartson|wls wal|1975,john hartson|1998/99,John Hartson,John Hartson,Season not found in SportMonks,[]
Guy Whittingham,guy whittingham,eng ENG,1994/95,Premier League,2 Teams,29,11,1925,29,FW,1,12,,,,20,9,21.4,guy whittingham|eng eng|1965,guy whittingham|1994/95,Guy Whittingham,Guy Whittingham,Season not found in SportMonks,[]
Carl Tiler,carl tiler,eng ENG,1998/99,Premier League,2 Teams,29,1,2541,28,DF,0,1,1,0,0,29,0,28.2,carl tiler|eng eng|1970,carl tiler|1998/99,Carl Tiler,Carl Tiler,Season not found in SportMonks,[]
Noel Whelan,noel whelan,eng ENG,1995/96,Premier League,2 Teams,29,8,2129,20,FW,3,11,,,,24,5,23.7,noel whelan|eng eng|1975,noel whelan|1995/96,Noel Whelan,Noel Whelan,Season not found in SportMonks,[]
Chris Kiwomya,chris kiwomya,eng ENG,1994/95,Premier League,2 Teams,29,6,1724,24,FW,3,9,6,0,0,18,11,19.2,chris kiwomya|eng eng|1970,chris kiwomya|1994/95,Chris Kiwomya,Chris Kiwomya,Season not found in SportMonks,[]
Mark Hughes,mark hughes,wls WAL,1999/00,Premier League,2 Teams,29,2,2420,35,FW,3,5,2,0,0,27,2,26.9,mark hughes|wls wal|1964,mark hughes|1999/00,Mark Hughes,Mark Hughes,Season not found in SportMonks,[]
Martin Keown,martin keown,eng ENG,1992/93,Premier League,2 Teams,29,0,2533,26,"DF,MF",0,0,0,0,0,28,1,28.1,martin keown|eng eng|1966,martin keown|1992/93,Martin Keown,Martin Keown,Season not found in SportMonks,[]
Efan Ekoku,efan ekoku,ng NGA,1994/95,Premier League,2 Teams,29,9,2455,27,FW,3,12,9,0,0,28,1,27.3,efan ekoku|ng nga|1967,efan ekoku|1994/95,Efan Ekoku,Efan Ekoku,Season not found in SportMonks,[]
David Burrows,david burrows,eng ENG,1993/94,Premier League,2 Teams,29,1,2402,24,DF,0,1,1,0,0,28,1,26.7,david burrows|eng eng|1969,david burrows|1993/94,David Burrows,David Burrows,Season not found in SportMonks,[]
Kevin Gallacher,kevin gallacher,sct SCO,1992/93,Premier League,2 Teams,29,11,2463,25,"FW,MF",7,18,11,0,0,28,1,27.4,kevin gallacher|sct sco|1967,kevin gallacher|1992/93,Kevin Gallacher,Kevin Gallacher,Season not found in SportMonks,[]
Paul Merson,paul merson,eng ENG,1998/99,Premier League,2 Teams,29,5,2159,30,"FW,MF",4,9,5,0,1,24,5,24,paul merson|eng eng|1968,paul merson|1998/99,Paul Merson,Paul Merson,Season not found in SportMonks,[]
John Beresford,john beresford,eng ENG,1997/98,Premier League,2 Teams,28,2,2365,30,DF,3,5,,,,27,1,26.3,john beresford|eng eng|1967,john beresford|1997/98,John Beresford,John Beresford,Season not found in SportMonks,[]
Garry Parker,garry parker,eng ENG,1994/95,Premier League,2 Teams,28,3,2379,28,MF,6,9,3,0,0,26,2,26.4,garry parker|eng eng|1966,garry parker|1994/95,Garry Parker,Garry Parker,Season not found in SportMonks,[]
Roy Wegerle,roy wegerle,us USA,1992/93,Premier League,2 Teams,28,4,1636,28,"FW,MF",0,4,4,0,0,16,12,18.2,roy wegerle|us usa|1964,roy wegerle|1992/93,Roy Wegerle,Roy Wegerle,Season not found in SportMonks,[]
Kenny Sansom,kenny sansom,eng ENG,1992/93,Premier League,2 Teams,28,1,2391,33,DF,3,4,1,0,0,27,1,26.6,kenny sansom|eng eng|1959,kenny sansom|1992/93,Kenny Sansom,Kenny Sansom,Season not found in SportMonks,[]
Garry Flitcroft,garry flitcroft,eng ENG,1995/96,Premier League,2 Teams,28,0,2286,22,MF,0,0,,,,28,0,25.4,garry flitcroft|eng eng|1973,garry flitcroft|1995/96,Garry Flitcroft,Garry Flitcroft,Season not found in SportMonks,[]
David Rocastle,david rocastle,eng ENG,1993/94,Premier League,2 Teams,28,3,2301,26,MF,4,7,,,,27,1,25.6,david rocastle|eng eng|1967,david rocastle|1993/94,David Rocastle,David Rocastle,Season not found in SportMonks,[]
Scott Sellars,scott sellars,eng ENG,1995/96,Premier League,2 Teams,28,3,2274,29,MF,5,8,,,,24,4,25.3,scott sellars|eng eng|1966,scott sellars|1995/96,Scott Sellars,Scott Sellars,Season not found in SportMonks,[]
Scot Gemmill,scot gemmill,sct SCO,1998/99,Premier League,2 Teams,27,1,2174,27,MF,1,2,1,0,0,25,2,24.2,scot gemmill|sct sco|1971,scot gemmill|1998/99,Scot Gemmill,Scot Gemmill,Season not found in SportMonks,[]
Neil Adams,neil adams,eng ENG,1993/94,Premier League,2 Teams,27,0,1738,27,MF,4,4,0,0,0,18,9,19.3,neil adams|eng eng|1966,neil adams|1993/94,Neil Adams,Neil Adams,Season not found in SportMonks,[]
Keith Gillespie,keith gillespie,nir NIR,1994/95,Premier League,2 Teams,26,3,1784,19,"FW,MF",3,6,,,,18,8,19.8,keith gillespie|nir nir|1975,keith gillespie|1994/95,Keith Gillespie,Keith Gillespie,Season not found in SportMonks,[]
Jim Magilton,jim magilton,nir NIR,1997/98,Premier League,2 Teams,26,1,1677,28,"DF,MF",0,1,1,0,0,18,8,18.6,jim magilton|nir nir|1969,jim magilton|1997/98,Jim Magilton,Jim Magilton,Season not found in SportMonks,[]
